run_id,question_id,brain,condition,variant,p_yes,mean_bias,corrected_bias,b0,n_trials,n_zero_spike_trials,left_is_yes
422,2026-gov-ak,n/a,coin,original,0.0,,,,1,0,
211,2026-gov-ak,malecns,er,negation,0.507075,0.463644,-0.01415,0.477795,10,0,0
208,2026-gov-ak,malecns,er,original,0.505748,0.466299,-0.011496,0.477795,10,0,0
215,2026-gov-ak,malecns,er,paraphrase,0.502061,0.473674,-0.004121,0.477795,10,0,0
374,2026-gov-ak,malecns,no_brain,negation,0.498089,0.009089,0.003822,0.005267,1,0,0
373,2026-gov-ak,malecns,no_brain,original,0.497908,0.00945,0.004183,0.005267,1,0,0
375,2026-gov-ak,malecns,no_brain,paraphrase,0.498938,0.00739,0.002123,0.005267,1,0,0
256,2026-gov-ak,malecns,real,negation,0.500636,-0.096472,-0.001272,-0.0952,10,0,0
253,2026-gov-ak,malecns,real,original,0.497411,-0.090022,0.005178,-0.0952,10,0,0
259,2026-gov-ak,malecns,real,paraphrase,0.49797,-0.091141,0.004059,-0.0952,10,0,0
223,2026-gov-ak,malecns,rewired,negation,0.505497,0.06089,-0.010993,0.071883,10,0,0
220,2026-gov-ak,malecns,rewired,original,0.499611,0.07266,0.000778,0.071883,10,0,0
226,2026-gov-ak,malecns,rewired,paraphrase,0.509231,0.053421,-0.018462,0.071883,10,0,0
423,2026-gov-ga,n/a,coin,original,0.0,,,,1,0,
221,2026-gov-ga,malecns,er,negation,0.413263,0.30432,-0.173475,0.477795,10,0,1
218,2026-gov-ga,malecns,er,original,0.393851,0.265497,-0.212298,0.477795,10,0,1
224,2026-gov-ga,malecns,er,paraphrase,0.413818,0.30543,-0.172364,0.477795,10,0,1
377,2026-gov-ga,malecns,no_brain,negation,0.506803,0.018874,0.013607,0.005267,1,0,1
376,2026-gov-ga,malecns,no_brain,original,0.506833,0.018933,0.013666,0.005267,1,0,1
378,2026-gov-ga,malecns,no_brain,paraphrase,0.507468,0.020203,0.014936,0.005267,1,0,1
265,2026-gov-ga,malecns,real,negation,0.503431,-0.088337,0.006862,-0.0952,10,0,1
262,2026-gov-ga,malecns,real,original,0.504259,-0.086683,0.008517,-0.0952,10,0,1
268,2026-gov-ga,malecns,real,paraphrase,0.504684,-0.085832,0.009368,-0.0952,10,0,1
231,2026-gov-ga,malecns,rewired,negation,0.490491,0.052864,-0.019019,0.071883,10,0,1
229,2026-gov-ga,malecns,rewired,original,0.502443,0.076769,0.004886,0.071883,10,0,1
234,2026-gov-ga,malecns,rewired,paraphrase,0.49585,0.063582,-0.008301,0.071883,10,0,1
424,2026-gov-ia,n/a,coin,original,0.0,,,,1,0,
230,2026-gov-ia,malecns,er,negation,0.453346,0.384487,-0.093307,0.477795,10,0,1
227,2026-gov-ia,malecns,er,original,0.439513,0.356822,-0.120973,0.477795,10,0,1
233,2026-gov-ia,malecns,er,paraphrase,0.448515,0.374825,-0.10297,0.477795,10,0,1
380,2026-gov-ia,malecns,no_brain,negation,0.503845,0.012958,0.007691,0.005267,1,0,1
379,2026-gov-ia,malecns,no_brain,original,0.503744,0.012754,0.007487,0.005267,1,0,1
381,2026-gov-ia,malecns,no_brain,paraphrase,0.50338,0.012026,0.00676,0.005267,1,0,1
274,2026-gov-ia,malecns,real,negation,0.502224,-0.090752,0.004448,-0.0952,10,0,1
271,2026-gov-ia,malecns,real,original,0.505349,-0.084503,0.010697,-0.0952,10,0,1
277,2026-gov-ia,malecns,real,paraphrase,0.50316,-0.08888,0.00632,-0.0952,10,0,1
240,2026-gov-ia,malecns,rewired,negation,0.509361,0.090605,0.018722,0.071883,10,0,1
237,2026-gov-ia,malecns,rewired,original,0.515704,0.10329,0.031407,0.071883,10,0,1
243,2026-gov-ia,malecns,rewired,paraphrase,0.496348,0.064579,-0.007304,0.071883,10,0,1
425,2026-gov-ks,n/a,coin,original,1.0,,,,1,0,
239,2026-gov-ks,malecns,er,negation,0.483647,0.445089,-0.032706,0.477795,10,0,1
236,2026-gov-ks,malecns,er,original,0.458904,0.395602,-0.082193,0.477795,10,0,1
242,2026-gov-ks,malecns,er,paraphrase,0.476609,0.431013,-0.046782,0.477795,10,0,1
383,2026-gov-ks,malecns,no_brain,negation,0.500812,0.00689,0.001624,0.005267,1,0,1
382,2026-gov-ks,malecns,no_brain,original,0.501722,0.00871,0.003444,0.005267,1,0,1
384,2026-gov-ks,malecns,no_brain,paraphrase,0.501412,0.00809,0.002824,0.005267,1,0,1
283,2026-gov-ks,malecns,real,negation,0.499025,-0.097151,-0.001951,-0.0952,10,0,1
281,2026-gov-ks,malecns,real,original,0.502975,-0.089249,0.005951,-0.0952,10,0,1
285,2026-gov-ks,malecns,real,paraphrase,0.501964,-0.091272,0.003928,-0.0952,10,0,1
249,2026-gov-ks,malecns,rewired,negation,0.500466,0.072815,0.000932,0.071883,10,0,1
246,2026-gov-ks,malecns,rewired,original,0.508269,0.088421,0.016538,0.071883,10,0,1
252,2026-gov-ks,malecns,rewired,paraphrase,0.498471,0.068826,-0.003057,0.071883,10,0,1
426,2026-gov-mi,n/a,coin,original,0.0,,,,1,0,
248,2026-gov-mi,malecns,er,negation,0.499049,0.475893,-0.001901,0.477795,10,0,1
245,2026-gov-mi,malecns,er,original,0.494206,0.466207,-0.011587,0.477795,10,0,1
251,2026-gov-mi,malecns,er,paraphrase,0.488854,0.455503,-0.022291,0.477795,10,0,1
386,2026-gov-mi,malecns,no_brain,negation,0.501053,0.007372,0.002105,0.005267,1,0,1
385,2026-gov-mi,malecns,no_brain,original,0.500917,0.007101,0.001835,0.005267,1,0,1
387,2026-gov-mi,malecns,no_brain,paraphrase,0.500804,0.006875,0.001609,0.005267,1,0,1
287,2026-gov-mi,malecns,real,negation,0.501918,-0.091364,0.003836,-0.0952,10,0,1
286,2026-gov-mi,malecns,real,original,0.500586,-0.094028,0.001172,-0.0952,10,0,1
288,2026-gov-mi,malecns,real,paraphrase,0.500211,-0.094777,0.000423,-0.0952,10,0,1
257,2026-gov-mi,malecns,rewired,negation,0.497925,0.067732,-0.004151,0.071883,10,0,1
254,2026-gov-mi,malecns,rewired,original,0.500781,0.073445,0.001563,0.071883,10,0,1
260,2026-gov-mi,malecns,rewired,paraphrase,0.498912,0.069706,-0.002177,0.071883,10,0,1
427,2026-gov-nv,n/a,coin,original,0.0,,,,1,0,
258,2026-gov-nv,malecns,er,negation,0.482285,0.442365,-0.03543,0.477795,10,0,1
255,2026-gov-nv,malecns,er,original,0.465838,0.40947,-0.068325,0.477795,10,0,1
261,2026-gov-nv,malecns,er,paraphrase,0.485541,0.448877,-0.028918,0.477795,10,0,1
389,2026-gov-nv,malecns,no_brain,negation,0.507931,0.021128,0.015861,0.005267,1,0,1
388,2026-gov-nv,malecns,no_brain,original,0.507698,0.020663,0.015396,0.005267,1,0,1
390,2026-gov-nv,malecns,no_brain,paraphrase,0.507681,0.020629,0.015363,0.005267,1,0,1
290,2026-gov-nv,malecns,real,negation,0.503247,-0.088706,0.006494,-0.0952,10,0,1
289,2026-gov-nv,malecns,real,original,0.498157,-0.098885,-0.003685,-0.0952,10,0,1
291,2026-gov-nv,malecns,real,paraphrase,0.496813,-0.101575,-0.006375,-0.0952,10,0,1
266,2026-gov-nv,malecns,rewired,negation,0.506479,0.08484,0.012957,0.071883,10,0,1
263,2026-gov-nv,malecns,rewired,original,0.506492,0.084867,0.012984,0.071883,10,0,1
269,2026-gov-nv,malecns,rewired,paraphrase,0.505428,0.082738,0.010855,0.071883,10,0,1
428,2026-gov-oh,n/a,coin,original,0.0,,,,1,0,
267,2026-gov-oh,malecns,er,negation,0.530283,0.41723,-0.060565,0.477795,10,0,0
264,2026-gov-oh,malecns,er,original,0.54513,0.387536,-0.090259,0.477795,10,0,0
270,2026-gov-oh,malecns,er,paraphrase,0.530846,0.416103,-0.061692,0.477795,10,0,0
392,2026-gov-oh,malecns,no_brain,negation,0.49482,0.015627,0.010361,0.005267,1,0,0
391,2026-gov-oh,malecns,no_brain,original,0.494657,0.015953,0.010687,0.005267,1,0,0
393,2026-gov-oh,malecns,no_brain,paraphrase,0.495562,0.014142,0.008876,0.005267,1,0,0
293,2026-gov-oh,malecns,real,negation,0.501155,-0.09751,-0.00231,-0.0952,10,0,0
292,2026-gov-oh,malecns,real,original,0.501693,-0.098587,-0.003387,-0.0952,10,0,0
294,2026-gov-oh,malecns,real,paraphrase,0.498396,-0.091992,0.003208,-0.0952,10,0,0
275,2026-gov-oh,malecns,rewired,negation,0.512232,0.047419,-0.024464,0.071883,10,0,0
272,2026-gov-oh,malecns,rewired,original,0.507014,0.057854,-0.014029,0.071883,10,0,0
278,2026-gov-oh,malecns,rewired,paraphrase,0.510384,0.051115,-0.020768,0.071883,10,0,0
429,2026-gov-wi,n/a,coin,original,1.0,,,,1,0,
276,2026-gov-wi,malecns,er,negation,0.498097,0.481601,0.003806,0.477795,10,0,0
273,2026-gov-wi,malecns,er,original,0.500136,0.477522,-0.000273,0.477795,10,0,0
279,2026-gov-wi,malecns,er,paraphrase,0.500987,0.475822,-0.001973,0.477795,10,0,0
395,2026-gov-wi,malecns,no_brain,negation,0.507098,-0.00893,-0.014197,0.005267,1,0,0
394,2026-gov-wi,malecns,no_brain,original,0.507583,-0.009898,-0.015165,0.005267,1,0,0
396,2026-gov-wi,malecns,no_brain,paraphrase,0.506264,-0.007261,-0.012528,0.005267,1,0,0
296,2026-gov-wi,malecns,real,negation,0.499632,-0.094463,0.000736,-0.0952,10,0,0
295,2026-gov-wi,malecns,real,original,0.499784,-0.094767,0.000433,-0.0952,10,0,0
297,2026-gov-wi,malecns,real,paraphrase,0.499208,-0.093616,0.001583,-0.0952,10,0,0
282,2026-gov-wi,malecns,rewired,negation,0.497244,0.077395,0.005512,0.071883,10,0,0
280,2026-gov-wi,malecns,rewired,original,0.491709,0.088465,0.016582,0.071883,10,0,0
284,2026-gov-wi,malecns,rewired,paraphrase,0.501118,0.069648,-0.002235,0.071883,10,0,0
411,2026-house-az-1,n/a,coin,original,1.0,,,,1,0,
113,2026-house-az-1,malecns,er,negation,0.566944,0.343907,-0.133888,0.477795,10,0,0
